Título,RQ,Categoria
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ1,Data Centers
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ2,Manutenção Prescritiva / Preditiva
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ2,RUL/Prognóstico
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ3,Diagnóstico/Causa-raiz
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ3,HITL/Confiança/Uncertainty
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ4,"Público, Backblaze dataset"
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ5,Séries temporais (sensores/telemetria)
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ6,Não mencionado
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ7,RNN (LSTM/GRU)
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ8,SHAP
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ8,LIME
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ9,Ambos
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ10,Classificação
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ10,Avaliação XAI quantitativa
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ11,Interpretabilidade/XAI
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ11,Adoção humana/HITL
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,RQ11,Modelagem
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ1,Alimentos/Bebidas
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ2,Detecção de Anomalias/Falhas
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ2,Controle de Qualidade (Defeitos)
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ2,Otimização / Controle de Processo
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ3,Diagnóstico/Causa-raiz
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ3,HITL/Confiança/Uncertainty
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ4,Sem Dataset
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ5,Séries temporais (sensores/telemetria)
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ5,Tabular (dados estruturados/atributos/features)
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ6,Não mencionado
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ7,RNN (LSTM/GRU)
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ8,LRP
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ8,SHAP
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ8,LIME
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ9,Ambos
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ10,Classificação
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ10,Regressão
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ10,Latência/Tempo/Computação
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ10,Avaliação XAI quantitativa
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ10,Avaliação humana
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ11,Modelagem
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ11,Generalização/Transferência
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ11,Interpretabilidade/XAI
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,RQ11,Adoção humana/HITL
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ1,Químico/Processos
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ2,RUL/Prognóstico
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ2,Detecção de Anomalias/Falhas
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ3,Alerta/Detecção
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ3,Diagnóstico/Causa-raiz
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ3,Prognóstico (RUL/Health)
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ3,Prescrição/Recomendação
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ4,Privados/proprietários
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ5,Séries temporais (sensores/telemetria)
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ5,Sinais (áudio/vibração/ultrassom – waveform)
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ6,Não mencionado
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ7,Autoencoder/VAE
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ7,RNN (LSTM/GRU)
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ7,MLP/ANN (feedforward)
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ8,SHAP
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ9,Ambos
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ10,Regressão
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ11,Dados
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ11,Modelagem
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,RQ11,Generalização/Transferência
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ1,Químico/Processos
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ2,Manutenção Prescritiva / Preditiva
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ2,Detecção de Anomalias/Falhas
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ2,Diagnóstico / Causa-raiz (FDD)
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ3,Alerta/Detecção
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ3,Diagnóstico/Causa-raiz
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ4,Simulados/gerados
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ5,Séries temporais (sensores/telemetria)
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ6,Não mencionado
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ7,Não mencionado.
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ8,Causal/Granger/DAG/PC (inferência causal)
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ9,Não mencionado
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ10,Detecção de anomalias/FDD
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ10,Classificação
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ11,Modelagem
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ11,Infraestrutura & Integração
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,RQ11,Dados
A predictive analytics framework for early detection of production halts and quality issues.,RQ1,Manufatura (geral)
A predictive analytics framework for early detection of production halts and quality issues.,RQ2,Detecção de Anomalias/Falhas
A predictive analytics framework for early detection of production halts and quality issues.,RQ2,Controle de Qualidade (Defeitos)
A predictive analytics framework for early detection of production halts and quality issues.,RQ3,Planejamento/Otimização
A predictive analytics framework for early detection of production halts and quality issues.,RQ3,Prescrição/Recomendação
A predictive analytics framework for early detection of production halts and quality issues.,RQ4,Privados/proprietários
A predictive analytics framework for early detection of production halts and quality issues.,RQ5,Tabular (dados estruturados/atributos/features)
A predictive analytics framework for early detection of production halts and quality issues.,RQ6,Não mencionado
A predictive analytics framework for early detection of production halts and quality issues.,RQ7,MLP/ANN (feedforward)
A predictive analytics framework for early detection of production halts and quality issues.,RQ8,SHAP
A predictive analytics framework for early detection of production halts and quality issues.,RQ9,Globais
A predictive analytics framework for early detection of production halts and quality issues.,RQ10,Classificação
A predictive analytics framework for early detection of production halts and quality issues.,RQ10,Latência/Tempo/Computação
A predictive analytics framework for early detection of production halts and quality issues.,RQ10,Avaliação XAI quantitativa
A predictive analytics framework for early detection of production halts and quality issues.,RQ11,Implantação & Tempo real
A predictive analytics framework for early detection of production halts and quality issues.,RQ11,Dados
A predictive analytics framework for early detection of production halts and quality issues.,RQ11,Avaliação humana/HITL
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ1,Manufatura (geral)
