Título,RQ1,RQ2,RQ3,RQ4,RQ5,RQ6,RQ7,RQ8,RQ9,RQ10,RQ11
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,Data Centers,"Manutenção Prescritiva, RUL","Auxilia na compreensão das saídas do modelo de IA e no processo de tomada de decisão através de explicações globais (identificando atributos S.M.A.R.T. mais críticos) e locais (identificando quais características influenciaram predições específicas, inclusive falsos positivos ou classificações incorretas).",Backblaze dataset,"Séries temporais de atributos S.M.A.R.T., organizadas em um dataset tridimensional (amostras, janelas de tempo e características).",Não mencionado.,LSTM com camadas empilhadas e ativação softmax.,SHAP com DeepExplainer e LIME com RecurrentTabularExplainer.,Ambos.,"Do Modelo: Acurácia, Precisão, Recall e F1-Score; Da Explicação: Identidade (Invariance), Estabilidade e Separabilidade.","Limitações nas medidas de completude e correção das ferramentas de XAI; Necessidade de engajamento contínuo dos usuários para personalizar explicações; Preocupações com a confiança do modelo e potenciais vieses (biases) no processo de aprendizado; Dificuldade em lidar com a natureza ""caixa-preta"" de modelos profundos em aplicações críticas."
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,Indústria de laticínios,"Detecção preditiva e gerenciamento de estados críticos de processo, previsão de parâmetros de qualidade e identificação de anomalias/desvios em tempo real","Fornece feedback em tempo real sobre o processamento , elucida as causas subjacentes de desvios e utiliza explicações baseadas em conhecimento de domínio (modelos white-box) para tornar os resultados rastreáveis para humanos.","Sem Dataset específico; O framework prevê o uso de dados de locais de produção reais (sensores e máquinas) , dados de experimentos em plantas-piloto e conhecimento de especialistas","Séries temporais de sensores (temperatura, pressão, pH, condutividade, viscosidade) , dados de matérias-primas , dados químicos/microbiológicos e conhecimento especializado (estruturado e semiestruturado).","Não mencionado de forma explícita como Edge, Cloud ou híbrido. O texto apenas exige provisão de dados em tempo real e afirma que é necessário avaliar se a infraestrutura de TI da empresa já permite isso.",Redes Neurais Profundas (Deep Neural Networks) e Redes Neurais Recorrentes (Recurrent Neural Networks).,"LRP, SHAP e LIME.",Ambos.,"Do Modelo: Sensibilidade, especificidade, erro quadrático médio (MSE) e consumo de recursos (tempo, CPU, RAM); Da Explicação: Poder explicativo, fidelidade e avaliação empírica da compreensibilidade das explicações pelos funcionários.","Complexidade bioquímica e inconsistência das matérias-primas; Falta de uma metodologia padrão para transferência de informações do objeto físico para o virtual; Dificuldade em adaptar métodos de XAI (como LIME), originalmente otimizados para imagens, para dados de processos industriais; Necessidade de generalizar modelos entre diferentes escalas (planta-piloto vs. fábrica); Lacuna de habilidades em TI entre os funcionários das empresas."
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,"Indústria de processo, petroquímica.","Manutenção preditiva, PHM, RUL, detecção de anomalias e identificação de características da falha.","Auxilia fornecendo informações para equipes de operação e manutenção lidarem com eventos de anomalia, identificando a causa raiz provável e emitindo sinalizações temporais (flags) sobre o tempo restante até a falha para priorizar ações preventivas.",Dados reais de um ambiente industrial (privados/proprietários).,"Séries temporais multidimensionais provenientes de sensores (vazão, carga, temperatura, pressão, corrente elétrica e sinais de vibração).","Não mencionado de forma explícita como Edge, Cloud ou híbrido.","Autoencoder, CNN, LSTM, GRU, MLP, N-BEATS",SHAP.,Ambos.,"Do Modelo/RUL: MAE, MSE, MAPE, RMSE e R^2.",Dificuldade de coletar e lidar com dados em ambientes reais e ruidosos; Complexidade de sistemas com equipamentos interconectados em série; Limitação na quantidade de dados disponíveis para avaliar diferentes condições operacionais; Dificuldade de redes neurais recorrentes (RNNs) em lidar com dados não estacionários.
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,Processos industriais e químicos.,"Manutenção Preditiva, detecção de falhas/anomalias, identificação de variáveis causais e diagnóstico da causa raiz/propagação da falha.",Detectar anomalias/falhas; Identificar variáveis-chave e variáveis com falha; estimar magnitude e atraso temporal da propagação; Explicitar o canal de propagação da causa raiz para apoiar mitigação/diagnóstico.,Simulados/gerados a partir de benchmarks de processo (CSTR e TEP).,Séries temporais multivariadas / dados de processo industriais.,"Não mencionado de forma explícita como Edge, Cloud ou híbrido.",Não mencionado.,IE + Granger Causality + DTW + SDG/DTD-SDG para explicação de propagação da falha e causa raiz.,Não mencionado explicitamente como local ou global.,"Métricas de detecção/desempenho: FAR, FDR, Recall, Precision e F1-Score; Índices estatísticos de monitoramento: I²d, I²e e SPE.","A extração de estruturas eficientes é desafiada pela natureza multidimensional e conectada das flutuações em processos modernos. Há dificuldades na coleta de informações de atraso de tempo (time-delay) entre variáveis e baixa robustez das técnicas de diagnóstico convencionais. Além disso, nota-se a falta de infraestrutura adequada nas operações reais para coletar e categorizar informações históricas."
A predictive analytics framework for early detection of production halts and quality issues.,Indústria de painéis à base de madeira.,Predição antecipada (Ahead-of-Time - AoT) de paradas de produção e de defeitos de qualidade no processo de fabricação.,"O modelo atua como ferramenta substituta para o planejamento da produção, permitindo modificar planos de produção e ajustar receitas antes da execução.",Privados/proprietários.,"Dados tabulares, utilizando exclusivamente variáveis de entrada pré-produção.","Não mencionado de forma explícita como Edge, Cloud ou híbrido.","As arquiteturas profundas usadas foram DFFN (Bayesian-optimized Deep FeedForward Network) e o framework Ludwig, com arquitetura ECD (Encoder–Combiner–Decoder) e TabNet combiner.",SHAP e 1DSA.,Globais.,"Modelo preditivo: AUC-ROC (métrica principal), mediana do AUC, IQR, teste de Wilcoxon pareado, além de FNR e FPR em análise de limiar; Custo computacional: tempo de seleção, treinamento e inferência; Explicabilidade: NKTD (Normalized Kendall Tau Distance) para comparar rankings SHAP/1DSA e MAE entre rankings qualitativos de especialistas e rankings derivados por XAI.","Alto custo computacional; Utilização apenas de atributos pré-produção; A validação qualitativa com especialistas pode sofrer de subjetividade, vieses ou conhecimento incompleto."
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,Indústria de painéis decorativos.,"Zero-Defect Manufacturing (ZDM) com foco em predição de defeitos, prevenção de defeitos e otimização de parâmetros de máquina para reduzir desperdício e melhorar a qualidade.","O sistema exibe um dashboard com alertas de probabilidade de defeito justificados pelas três variáveis mais influentes (explicação via SHAP). Além disso, o sistema sugere ativamente o ajuste ótimo de parâmetros da máquina para prevenir o defeito e utiliza Zero-Shot Learning (ZSL) para recomendar receitas de configuração iniciais para novos tipos de painéis, reduzindo o desperdício na fase de setup.",Dados privados e proprietários.,Dados tabulares de séries temporais derivados de variáveis de processo e sensores industriais.,"O modelo é executado na Nuvem (Cloud Computing), construído sobre uma infraestrutura modular utilizando Microsoft Azure, Asset Administration Shells (AASs) e contêineres Docker.","LSTM, porém apresentaram desempenho significativamente inferior aos métodos tradicionais de Ensemble (como XGBoost e AdaBoost)",SHAP.,Locais.,"Para a classificação de defeitos, utilizaram F1-Score, Acurácia, Precisão e Recall. Para o modelo de regressão associado ao Zero-Shot Learning, mediram o Erro Quadrático Médio (MSE) e o Coeficiente de Determinação (R2). Na avaliação do monitoramento online, utilizaram o Erro da Razão de Defeitos (EDR​)","Baixa adaptabilidade a mudanças súbitas de processo; Aplicabilidade inconsistente em cenários industriais reais e diversos; Escassez de dados; O LSTM teve desempenho inferior porque as API calls processam os dados sequencialmente, impedindo o aproveitamento das dependências temporais entre múltiplos painéis; Como trabalho futuro, o sistema ainda precisa integrar um módulo de visão computacional para apoiar a detecção visual de defeitos e fornecer evidência visual adicional"
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,Sistemas industriais de bombeamento.,Diagnóstico de falhas / detecção precoce de anomalias.,"A técnica auxilia ao classificar o estado da bomba a partir do áudio, permitindo detecção mais eficiente de falhas sob ruído industrial, e ao explicar quais atributos acústicos mais influenciam a decisão do modelo via SHAP.","Público, pois o estudo usa o Pump subset do MIMII acoustic dataset.","Sinais acústicos de áudio (waveforms), tratados como séries temporais, com extração de MFCCs, atributos espectrais (centroid, rolloff, contrast) e atributos temporais (zero-crossing rate, autocorrelation).","Não mencionado de forma explícita como Edge, Cloud ou híbrido.","MLP (SimpleDense), Conv1D, ResidualDense, ResNet1D, LSTM (Long Short-Term Memory), InceptionTime, Transformer e TCN (Temporal Convolutional Network).",SHAP com KernelExplainer,Globais.,"Acurácia (Accuracy), Sensibilidade (Recall), F1-Score, Área sob a curva ROC (ROC-AUC) e Perda de Entropia Cruzada Binária (BCE Loss).","Diagnóstico precoce é difícil, exigindo sensores muito sensíveis e algoritmos de ML; A interpretação dos sinais acústicos é difícil por causa de ruído de fundo e da complexidade do processamento de sinais;"
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,Setor de Manufatura.,"Manutenção Preditiva, com foco em Detecção de Anomalias em regime semi-supervisionado e Diagnóstico da causa raiz das falhas.",Fornece suporte visual como ferramenta de diagnóstico (emite alerta com justificativa visual).,Dados privados e proprietários.,Séries temporais de sensores industriais e medições únicas por ciclo.,"Arquitetura orientada à Cloud para aquisição de dados, pois um PLC coleta, sincroniza e envia os dados para a cloud, com acesso via web API.",Autoencoder baseado em CNN 2D.,SHAP com GradientExplainer.,Locais.,"F1-Score, Precisão (Precision) e Recall para avaliar o sucesso da detecção das anomalias e clusters de falhas. O tempo de execução/latência (milissegundos) foi medido para o processamento online.","A principal limitação reportada é a falta de escalabilidade direta do mesmo modelo para peças ou moldes (dies) diferentes. O método de Transfer Learning aplicado com sucesso para variações do mesmo molde ao longo do tempo falhou ao ser transferido para moldes diferentes, devido a diferenças estruturais no processo de conformação."
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,Indústria de manufatura de semicondutores.,Predição da qualidade do produto e detecção de falhas de manufatura.,"A técnica auxilia ao explicar predições individuais de falha/qualidade e ao identificar fatores críticos que influenciam cada caso, permitindo intervenções direcionadas, ajustes operacionais e otimização de processo.",Públicos (Benchmark UCI SECOM dataset). Link: https://archive.ics.uci.edu/dataset/179/secom.,"Dados tabulares de manufatura, compostos por dados de operações de fabricação e dados de qualidade de semicondutores.","Não mencionado de forma explícita como Edge, Cloud ou híbrido.","Não mencionado. (O estudo avaliou Random Forest e XGBoost, que são algoritmos de Ensemble/Árvores de Decisão, citando o uso de Redes Neurais apenas como uma possibilidade de trabalho futuro) .",LIME,Locais.,"Acurácia, Precisão, Recall (Sensibilidade), F1-Score e Área sob a Curva ROC (ROC/AUC).","Opacidade dos modelos e desconfiança na indústria, desbalanceamento severo dos dados (poucas falhas), baixa interpretabilidade da descrição das features do SECOM (ex.: “Feature 22” não é diretamente acionável para engenheiros), limitação de generalização para outros domínios, uso de um único estudo de caso, e ausência de comparação abrangente com outros métodos de XAI, como SHAP."
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,Manufatura de cerâmica.,"Manutenção Preditiva focada no monitoramento da integridade de maquinário (machinery health monitoring), detecção e previsão de falhas e predição de Vida Útil Restante (RUL).","O sistema gera alertas e detecção de anomalias, realiza diagnóstico e modelagem preditiva, produz recomendações automatizadas de manutenção, prioriza alarmes, estima RUL, apoia alocação de recursos e apresenta os resultados em dashboards interativos para supervisão humana. As explicações e a quantificação de incerteza aumentam a confiança do operador.",Dados privados e proprietários.,Séries temporais multissensores e dados operacionais de máquinas.,"Edge Computing com inteligência distribuída e aprendizado federado. O texto descreve um ambiente de edge computing com agentes especializados e agregação periódica de modelos sem centralizar dados sensíveis. Desafios citados: restrição de largura de banda, recursos computacionais limitados, latência, confiabilidade, gargalos de arquiteturas centralizadas e necessidade de redundância/failsafe em ambientes críticos. ","LSTM, mas o estudo também integrou algoritmos clássicos de Machine Learning nas camadas de raciocínio, como Random Forest e Isolation Forest.",Não mencionado de forma explícita.,Não mencionado explicitamente como local ou global.,"Para avaliação técnica dos modelos preditivos e detecção de falhas: Sensibilidade (Recall), Especificidade, Precisão, F1-Score, Erro Percentual Absoluto Médio (MAPE - para estimativas de RUL), redução de Falsos Positivos e Latência de comunicação (ms). Para métricas de explicação e colaboração humano-máquina (XAI): pontuações de confiança e usabilidade mensuradas via pesquisas na Escala Likert com operadores e técnicos de manutenção. Eficiência técnica geral foi medida pelo OEE (Overall Equipment Effectiveness), MTBF e MTTR.","Para avaliação técnica dos modelos preditivos e detecção de falhas: Sensibilidade (Recall), Especificidade, Precisão, F1-Score, Erro Percentual Absoluto Médio (MAPE - para estimativas de RUL), redução de Falsos Positivos e Latência de comunicação (ms). Para métricas de explicação e colaboração humano-máquina (XAI): pontuações de confiança e usabilidade mensuradas via pesquisas na Escala Likert com operadores e técnicos de manutenção. Eficiência técnica geral foi medida pelo OEE (Overall Equipment Effectiveness), MTBF e MTTR."
