Título,RQ1,RQ2,RQ3,RQ4,RQ5,RQ6,RQ7,RQ8,RQ9,RQ10,RQ11
A Comparative Assessment of eXplainable AI Tools in Predicting Hard Disk Drive Health⋆,Data Centers,Manutenção Prescritiva / Preditiva + RUL/Prognóstico,Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,"Público, Backblaze dataset",Séries temporais (sensores/telemetria),Não mencionado,RNN (LSTM/GRU),SHAP + LIME,Ambos,Classificação + Avaliação XAI quantitativa,Interpretabilidade/XAI + Adoção humana/HITL + Modelagem
A Conceptual Framework for Predictive Digital Dairy Twins: Integrating Explainable AI and HybridModeling,Alimentos/Bebidas,Detecção de Anomalias/Falhas + Controle de Qualidade (Defeitos) + Otimização / Controle de Processo,Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,Sem Dataset,Séries temporais (sensores/telemetria) + Tabular (dados estruturados/atributos/features),Não mencionado,RNN (LSTM/GRU),LRP + SHAP + LIME,Ambos,Classificação + Regressão + Latência/Tempo/Computação + Avaliação XAI quantitativa + Avaliação humana,Modelagem + Generalização/Transferência + Interpretabilidade/XAI + Adoção humana/HITL
A machine-learning based data-oriented pipeline for Prognosis and Health Management Systems,Químico/Processos,RUL/Prognóstico + Detecção de Anomalias/Falhas,Alerta/Detecção + Diagnóstico/Causa-raiz + Prognóstico (RUL/Health) + Prescrição/Recomendação,Privados/proprietários,Séries temporais (sensores/telemetria) + Sinais (áudio/vibração/ultrassom – waveform),Não mencionado,"Autoencoder/VAE + CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet) + RNN (LSTM/GRU) + MLP/ANN (feedforward)",SHAP,Ambos,Regressão,Dados + Modelagem + Generalização/Transferência
A novel dynamic machine learning-based explainable fusion monitoring: application to industrial and chemical processes.,Químico/Processos,Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas + Diagnóstico / Causa-raiz (FDD),Alerta/Detecção + Diagnóstico/Causa-raiz,Simulados/gerados,Séries temporais (sensores/telemetria),Não mencionado,Não mencionado.,Causal/Granger/DAG/PC (inferência causal),Não mencionado,Detecção de anomalias/FDD + Classificação,Modelagem + Infraestrutura & Integração + Dados
A predictive analytics framework for early detection of production halts and quality issues.,Manufatura (geral),Detecção de Anomalias/Falhas + Controle de Qualidade (Defeitos),Planejamento/Otimização + Prescrição/Recomendação,Privados/proprietários,Tabular (dados estruturados/atributos/features),Não mencionado,MLP/ANN (feedforward),SHAP,Globais,Classificação + Latência/Tempo/Computação + Avaliação XAI quantitativa,Implantação & Tempo real + Dados + Avaliação humana/HITL
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,Manufatura (geral),Controle de Qualidade (Defeitos) + Otimização / Controle de Processo,Alerta/Detecção + Diagnóstico/Causa-raiz + Prescrição/Recomendação + Planejamento/Otimização,Privados/proprietários,Tabular (dados estruturados/atributos/features),Cloud,RNN (LSTM/GRU),SHAP,Locais,Classificação + Regressão + Detecção de anomalias/FDD,Dados + Generalização/Transferência + Modelagem + Infraestrutura & Integração
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,Água/Saneamento,Diagnóstico / Causa-raiz (FDD) + Detecção de Anomalias/Falhas,Alerta/Detecção + Diagnóstico/Causa-raiz,"Público, Pump subset do MIMII acoustic dataset.",Sinais (áudio/vibração/ultrassom – waveform),Não mencionado,"MLP/ANN (feedforward) + CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet) + RNN (LSTM/GRU) + Transformer/Attention",SHAP,Globais,Classificação,Dados + Modelagem
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,Manufatura (geral),Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas + Diagnóstico / Causa-raiz (FDD),Alerta/Detecção + Inspeção visual/Localização,Privados/proprietários,Séries temporais (sensores/telemetria),Cloud,"Autoencoder/VAE + CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",SHAP,Locais,Classificação + Latência/Tempo/Computação,Generalização/Transferência
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,Semicondutores,Controle de Qualidade (Defeitos) + Detecção de Anomalias/Falhas,Diagnóstico/Causa-raiz + Prescrição/Recomendação + Planejamento/Otimização,Públicos (Benchmark UCI SECOM dataset). Link: https://archive.ics.uci.edu/dataset/179/secom.,Tabular (dados estruturados/atributos/features),Não mencionado,"Não DL / ML clássico (Ensembles, iForest, DrCIF, etc.)",LIME,Locais,Classificação,Interpretabilidade/XAI + Dados + Generalização/Transferência
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,Manufatura (geral),Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas + RUL/Prognóstico,Alerta/Detecção + Diagnóstico/Causa-raiz + Prognóstico (RUL/Health) + Prescrição/Recomendação + Planejamento/Otimização + HITL/Confiança/Uncertainty,Privados/proprietários,Séries temporais (sensores/telemetria),Federated/Distribuído,"RNN (LSTM/GRU) + Não DL / ML clássico (Ensembles, iForest, DrCIF, etc.)",Não mencionado,Não mencionado,Classificação + Regressão + Latência/Tempo/Computação + Avaliação humana + Métricas operacionais,Generalização/Transferência
